game_id,character,coins,spaces
1,Mario,0,26
1,Luigi,0,41
1,Peach,0,38
1,Daisy,0,34
1,Wario,-8,36
1,Waluigi,-6,40
1,Yoshi,0,40
1,Rosalina,6,32
1,Donkey Kong,5,30
1,Diddy Kong,0,49
1,Goomba,10,23
1,Shy Guy,0,28
1,Koopa Troopa,0,31
1,Monty Mole,1,43
1,Bowser,-9,46
1,Bowser Jr.,0,35
1,Boo,-6,39
1,Hammer Bro.,12,18
1,Dry Bones,0,30
1,Pom Pom,0,26
1,Mario,0,40
1,Luigi,0,41
1,Peach,0,32
1,Daisy,0,34
1,Wario,-6,42
1,Waluigi,-6,38
1,Yoshi,0,32
1,Rosalina,8,29
1,Donkey Kong,10,40
1,Diddy Kong,4,42
1,Goomba,12,19
1,Shy Guy,0,32
1,Koopa Troopa,0,35
1,Monty Mole,2,33
1,Bowser,-12,56
1,Bowser Jr.,0,33
1,Boo,-4,44
1,Hammer Bro.,6,24
1,Dry Bones,0,40
1,Pom Pom,0,37
2,Mario,0,45
2,Luigi,0,37
2,Peach,0,40
2,Daisy,0,34
2,Wario,-10,30
2,Waluigi,-6,36
2,Yoshi,0,41
2,Rosalina,4,31
2,Donkey Kong,5,40
2,Diddy Kong,2,35
2,Goomba,6,28
2,Shy Guy,0,36
2,Koopa Troopa,0,35
2,Monty Mole,1,42
2,Bowser,-12,48
2,Bowser Jr.,0,22
2,Boo,-10,27
2,Hammer Bro.,3,41
2,Dry Bones,0,40
2,Pom Pom,0,29
3,Mario,0,36
3,Luigi,0,24
3,Peach,0,24
3,Daisy,0,33
3,Wario,-12,24
3,Waluigi,-3,39
3,Yoshi,0,33
3,Rosalina,6,31
3,Donkey Kong,10,30
3,Diddy Kong,2,42
3,Goomba,10,20
3,Shy Guy,0,36
3,Koopa Troopa,0,27
3,Monty Mole,4,24
3,Bowser,-12,37
3,Bowser Jr.,0,29
3,Boo,-4,50
3,Hammer Bro.,0,26
3,Dry Bones,0,25
3,Pom Pom,0,34
4,Mario,0,33
4,Luigi,0,42
4,Peach,0,36
4,Daisy,0,32
4,Wario,-6,42
4,Waluigi,-3,47
4,Yoshi,0,34
4,Rosalina,4,27
4,Donkey Kong,5,60
4,Diddy Kong,2,28
4,Goomba,8,27
4,Shy Guy,0,28
4,Koopa Troopa,0,37
4,Monty Mole,1,38
4,Bowser,-12,22
4,Bowser Jr.,0,40
