game_id,character,coins,spaces
1,Mario,0,97
1,Luigi,0,99
1,Peach,0,78
1,Daisy,0,83
1,Wario,-12,114
1,Waluigi,-9,112
1,Yoshi,0,74
1,Rosalina,10,77
1,Donkey Kong,15,100
1,Diddy Kong,12,77
1,Goomba,16,71
1,Shy Guy,0,88
1,Koopa Troopa,0,77
1,Monty Mole,2,79
1,Bowser,-18,117
1,Bowser Jr.,0,84
1,Boo,-12,117
1,Hammer Bro.,12,65
1,Dry Bones,0,90
1,Pom Pom,0,85
1,Mario,0,94
1,Luigi,0,96
1,Peach,0,80
1,Daisy,0,83
1,Wario,-28,66
1,Waluigi,-27,52
1,Yoshi,0,88
1,Rosalina,12,71
1,Donkey Kong,15,70
1,Diddy Kong,10,49
1,Goomba,22,63
1,Shy Guy,0,84
1,Koopa Troopa,0,83
1,Monty Mole,6,79
1,Bowser,-15,143
1,Bowser Jr.,0,99
1,Boo,-14,104
1,Hammer Bro.,15,60
1,Dry Bones,0,95
1,Pom Pom,0,80
2,Mario,0,87
2,Luigi,0,85
2,Peach,0,96
2,Daisy,0,80
2,Wario,-18,96
2,Waluigi,-9,90
2,Yoshi,0,60
2,Rosalina,14,75
2,Donkey Kong,25,30
2,Diddy Kong,10,91
2,Goomba,16,69
2,Shy Guy,0,96
2,Koopa Troopa,0,57
2,Monty Mole,8,73
2,Bowser,-33,75
2,Bowser Jr.,0,62
2,Boo,-10,112
2,Hammer Bro.,3,68
2,Dry Bones,0,60
2,Pom Pom,0,60
3,Mario,0,78
3,Luigi,0,76
3,Peach,0,94
3,Daisy,0,84
3,Wario,-20,90
3,Waluigi,-9,98
3,Yoshi,0,82
3,Rosalina,16,75
3,Donkey Kong,30,70
3,Diddy Kong,12,84
3,Goomba,20,67
3,Shy Guy,0,88
3,Koopa Troopa,0,78
3,Monty Mole,5,68
3,Bowser,-27,120
3,Bowser Jr.,0,106
3,Boo,-24,77
3,Hammer Bro.,21,74
3,Dry Bones,0,85
3,Pom Pom,0,87
4,Mario,0,83
4,Luigi,0,86
4,Peach,0,82
